game,source_row_key,cardmarket_product_id,cardmarket_name_raw,raw_match,parser,parser_version,confidence
digimon,0a55a0e18a10250d2be109a778b30e1e479b9f5b91820b43e71e11c7b8ce15f1,806640,Alphamon: Ouryuken Ace,BT20-060,digimon_catalogue_name,1.0.0,candidate_only
digimon,0a842c0efbb45259678adbfac039b581f5b08ce42e6d63bab8cd5330535a765d,872967,Gurimon,RB1-001,digimon_catalogue_name,1.0.0,candidate_only
digimon,0b6af9a6c96bfc16b9482af6d3ff7b407f1b4b548a72010a40a18ea39e251228,818302,WarGreymon (X Antibody),BT9-016,digimon_catalogue_name,1.0.0,candidate_only
digimon,0bcbf4bf9de8113ab62d44501faf9c37683a73296a145a9f4a5878c5607985d8,873614,Stingmon,BT12-050,digimon_catalogue_name,1.0.0,candidate_only
digimon,0beb9f7604558572f60be04ecbf3619fea9560a1faa6d440fe94255663867a2e,786085,HeavyMetaldramon,EX7-062,digimon_catalogue_name,1.0.0,candidate_only
digimon,0c2d9729b6b59c14cadf0d1587e96ff88b29d6e4a58e5eed97d3dc55818f31c8,716125,MetalGreymon,BT1-021,digimon_catalogue_name,1.0.0,candidate_only
digimon,0c88fabad2d5237fa4b5fd78ffa3e69528b44f505fb17c70677caa89b6c4e966,755740,Izzy Izumi,BT15-085,digimon_catalogue_name,1.0.0,candidate_only
digimon,0da8ad987d875597b00e320dd666f56fbc65b75a3df1f805109e679f03ea9e77,862856,Offense Training,P-103,digimon_catalogue_name,1.0.0,candidate_only
digimon,0e1909c46600dfe4b043f971f1fc0228ad3c57ae541f02b9121907135ab49815,793699,Duskmon,BT18-078,digimon_catalogue_name,1.0.0,candidate_only
digimon,0e848231779e8213029a41c6ef78e33703ca3045d36a18af5f0ccb37cc45b1f6,779729,Omnimon Ace,BT17-078,digimon_catalogue_name,1.0.0,candidate_only
digimon,0ea1abbd516251e0a45c6e59369c184cdb108dbe13ea78571432ddd4d69018af,775391,Mirei Mikagura,EX6-074,digimon_catalogue_name,1.0.0,candidate_only
digimon,0ec20e655d41da8f2ed246e02c283b245b24b737444923840c5d870b9fb97488,775347,Mastemon Ace,EX6-029,digimon_catalogue_name,1.0.0,candidate_only
digimon,0f08b1dd3cb29a1404c45e4611bdb8cff621bcac930ad1d71648efe95dacb01f,873575,"J.P., Koji, & Koichi",AD1-023,digimon_catalogue_name,1.0.0,candidate_only
digimon,0fe42df0e2cca515a657d02226250642ec7dcbbd818c75e294a166a6bb7e6be8,704152,Omnimon,BT5-086,digimon_catalogue_name,1.0.0,candidate_only
digimon,1011b6017cf0a699d2a36663f4d3d4ec345531134c5fef4d1c602ec576419bf1,804254,Tumblemon,EX8-005,digimon_catalogue_name,1.0.0,candidate_only
digimon,108af68578f26977e279b23415983e303077e0fa3bb59641ec9c6b7b37372713,785198,Imperialdramon: Dragon Mode,BT16-028,digimon_catalogue_name,1.0.0,candidate_only
digimon,10e9357373e947c2f3ebfd23a8b80e1463bd60dd6bae0c84ecdc93284b271094,722642,Ravemon: Burst Mode,BT13-092,digimon_catalogue_name,1.0.0,candidate_only
digimon,115e74a42c0630471b622b7013582a5ccb2e95054514788a4d201dc950f0301c,650321,WarGreymon,ST1-11,digimon_catalogue_name,1.0.0,candidate_only
digimon,117a3dbfb123796111b8b66ce280fbb4fa9f8216388b0f15c62ceb4f7582ac1e,744164,Kari Kamiya,BT8-090,digimon_catalogue_name,1.0.0,candidate_only
digimon,1183c16aed24b0cb0b844ab1aaf05b19a8f5c10a7aeebcf43e1045c99f9ad1e6,650370,Devimon,ST6-08,digimon_catalogue_name,1.0.0,candidate_only
digimon,11b64036f6cb61987c092198c3568952a810c4f25fa69861e024f66d20e5d240,807845,Ghostmon,BT20-063,digimon_catalogue_name,1.0.0,candidate_only
digimon,127df2575a54ec7bd644bd2104ce64756fd4d241f9ba3c9b41ad05518321800c,743341,Huckmon,P-066,digimon_catalogue_name,1.0.0,candidate_only
digimon,12f3c651b27391d255845acc64a96b7400030fa378f00a01bb2e822730ae2227,696450,Rina Shinomiya,BT11-112,digimon_catalogue_name,1.0.0,candidate_only
digimon,139d5b8984271fb32c0eba1a24fb16b75b69bf21c35a050baea65991c8515bdc,862159,Leviamon,EX5-063,digimon_catalogue_name,1.0.0,candidate_only
digimon,13c44991db852091576d2881c7caf6a396a5d707822b24f46616643c7017e373,707638,Imperialdramon Paladin Mode,BT8-112,digimon_catalogue_name,1.0.0,candidate_only
digimon,13e5d475791905c0babd1535e7d942101bcef1a9dee53a0754d9176afa08f797,853008,TigerVespamon Ace,BT23-045,digimon_catalogue_name,1.0.0,candidate_only
digimon,13f788b8ac74d868472084cd2ed153a6e7e32589c7bc17d04ef798ccf26a1003,793705,Lucemon: Chaos Mode,BT18-082,digimon_catalogue_name,1.0.0,candidate_only
digimon,13f8ebc2cdddd2f1f77681736ab6c2755d247fc83cec0ae6a4ffee34d3cc77c0,864260,Jupitermon,BT24-101,digimon_catalogue_name,1.0.0,candidate_only
digimon,141418089d0ab4a9e9a507ffbc78d0e06446772acbd5c26aa29034dd2bee12e1,864246,Asuna Shiroki,BT24-088,digimon_catalogue_name,1.0.0,candidate_only
digimon,1479d84b5565e058c904a77c9cc26aca8cfb4600f98a39a7d391caf6ce0f422a,872842,Sunmon,EX5-001,digimon_catalogue_name,1.0.0,candidate_only
digimon,147f8e780093cb7c8eaf32e07e498a08df5f7284bd11fe8e549ba8888361a7a5,708440,Quartzmon,BT12-057,digimon_catalogue_name,1.0.0,candidate_only
digimon,15071dde4db9f0d684f73695fb31d23b2ba868614a6b27b78a324dfa7380f698,739982,MetalGreymon Ace,BT14-014,digimon_catalogue_name,1.0.0,candidate_only
digimon,150ad1e2de8f884a27418d360c368c86d6e84841c6ba35f6528c6f58c9f46d97,802697,Gallantmon (X Antibody),EX8-073,digimon_catalogue_name,1.0.0,candidate_only
digimon,150d53d610392da57be9200f84008a91ff2f7bea0a4c38c405bc083cad9bb2cd,722676,Ignitemon,BT11-076,digimon_catalogue_name,1.0.0,candidate_only
digimon,154108ccbb11060e090eae8cfec94bcecb880de3bc6da4269c94b6d488b2cbd8,873569,LordKnightmon,AD1-018,digimon_catalogue_name,1.0.0,candidate_only
digimon,15ab002873777f0d0640246ca5a432ae98499f384813ec809b5621c397f7f0c6,669252,WarGreymon (X Antibody),BT9-016,digimon_catalogue_name,1.0.0,candidate_only
digimon,15b122b84690f08fbaf0075b774b1cfeace62862518e3037486279d82da5c800,775332,Lucemon,EX6-018,digimon_catalogue_name,1.0.0,candidate_only
digimon,15c15d6fe2f33bdd0dd7b166f8ce6b57d17c2ea12ee97f92a5ca553f5ac8dd61,793794,Nene Amano,BT19-087,digimon_catalogue_name,1.0.0,candidate_only
digimon,15f9749482c5b6345aac2699c362536fb0cbd117fd187e12f3feda3c0db400f3,621108,Garurumon,EX1-015,digimon_catalogue_name,1.0.0,candidate_only
digimon,162d8db22a296b4796d024b90ce36175660fcdc49415f94daffc8f085e78e144,871011,Medusamon,EX11-012,digimon_catalogue_name,1.0.0,candidate_only
