source_row_key,status,match_method,cardmarket_product_id,cardmarket_name,finish,provider_card_id,candidate_count,reason_code,evidence,cardmarket_url
7563ba42f2767bd68486746d47051efd617d532d211b6688be773d1b0a5f2972,exact,direct_marketplace_id,4720,Air Elemental,nonfoil,36a94a6d-26b1-4486-9444-ec366e6f4d6e,1,,cardmarket_id=4720,https://www.cardmarket.com/en/Magic/Products?idProduct=4720
756c5dd54d9ac3222e4fcb45641fe6d3a092d9d5cf40fd43fd6ca14f3d78faeb,exact,direct_marketplace_id,747282,"Etali, Primal Storm",nonfoil,678ed5f8-8bfa-483c-beeb-b4a7e7affd65,1,,cardmarket_id=747282,https://www.cardmarket.com/en/Magic/Products?idProduct=747282
7577ce788a704991b6633fe42ae2bb22af2b88cd013458bdbae1449d38f4459e,exact,direct_marketplace_id,859753,Krark-Clan Ironworks,foil,f5b731dd-49ab-440b-b974-497e57122d4e,1,,cardmarket_id=859753,https://www.cardmarket.com/en/Magic/Products?idProduct=859753&isFoil=Y
757b0b8346c2ce99dbf94e4f3be1341d07d1096cad8150c5df3ee90abad9c05a,exact,direct_marketplace_id,7210,Sentinel,nonfoil,5c970830-95cf-4471-af28-43da635073d0,1,,cardmarket_id=7210,https://www.cardmarket.com/en/Magic/Products?idProduct=7210
758a147fa6d4f55bbe23dd67ebfaff29aee215f0ca88c8f927c5c6555c0f67aa,exact,direct_marketplace_id,12980,Crime // Punishment,foil,2edeab08-86eb-4fa8-ba24-23dacb32e0fd,1,,cardmarket_id=12980,https://www.cardmarket.com/en/Magic/Products?idProduct=12980&isFoil=Y
758cec88b4ff0c2df63bc03eb127424faf65ce00573bd9b47c5f7f99ea93a9ac,exact,direct_marketplace_id,251220,Swords to Plowshares,nonfoil,c80d1df6-247d-4ceb-8493-226a2a4a8f75,1,,cardmarket_id=251220,https://www.cardmarket.com/en/Magic/Products?idProduct=251220
758e28855a18267e5fa29b19dabcbcfabe74d5f8ad8d1112f5756d5296f2974f,exact,direct_marketplace_id,453543,Drannith Magistrate,nonfoil,adaf8f6a-9559-4b47-8e67-2c4c3d6d8c60,1,,cardmarket_id=453543,https://www.cardmarket.com/en/Magic/Products?idProduct=453543
7590558846f40e0f636126c1241ffddf10a4ecbc103c04fed9440c217f12186b,exact,direct_marketplace_id,242570,Wheel of Fortune,foil,a8a47aa2-7274-465a-865b-68fe47d4fa81,1,,cardmarket_id=242570,https://www.cardmarket.com/en/Magic/Products?idProduct=242570&isFoil=Y
75931a96d4334afc5bfc83bfb3c07cd5322bf174763ddbf604ac5f0cc3d450bf,exact,direct_marketplace_id,824309,"Cloud, Midgar Mercenary",foil,86fd126f-7672-4d83-93df-c61184d2fcf4,1,,cardmarket_id=824309,https://www.cardmarket.com/en/Magic/Products?idProduct=824309&isFoil=Y
7596de292989bdf10294ba538eaba55fcea2e2205a04f60b54ba351b306c691e,exact,direct_marketplace_id,16647,Granite Gargoyle,nonfoil,e2067284-c6af-41d7-a4ac-d66a86d9346c,1,,cardmarket_id=16647,https://www.cardmarket.com/en/Magic/Products?idProduct=16647
