source_row_key,sample_reason,review_status,cardmarket_product_id,cardmarket_name,finish,provider_card_id,provider_name,set_code,collector_number,language,layout,face_count,cardmarket_url,scryfall_url
f299d15354b3a68bc8f22cf7179fd9cd6b3463122123464930eb18950014357b,foil,pending,738821,Cybermen Squadron,foil,7bf58737-3e09-4c09-85d8-bdf2364db30c,Cybermen Squadron,who,781,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=738821&isFoil=Y,https://scryfall.com/card/7bf58737-3e09-4c09-85d8-bdf2364db30c
a8e2de8c057496221301907ffc1cb851117ac5b4b412a65790eefb844072e8ac,foil,pending,807350,Sunbillow Verge,foil,cff03662-3879-4ca8-b73c-34918194203b,Sunbillow Verge,dft,504,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=807350&isFoil=Y,https://scryfall.com/card/cff03662-3879-4ca8-b73c-34918194203b
2d75648ca8cda5782e67bcc877d766bc3472e7419b9e0609030d2eb98e3af726,foil,pending,851571,Spellskite,foil,d2e8104a-e6db-44bc-95eb-23e78b27a6bd,Spellskite,sld,2325,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=851571&isFoil=Y,https://scryfall.com/card/d2e8104a-e6db-44bc-95eb-23e78b27a6bd
5832123bfaf553dd11455130a82e4ac1a08f82912ccb82ee8a3537176a021f1e,foil,pending,758839,Atomize,foil,8da41054-7f89-4c74-8c58-092f9d6ed144,Atomize,pip,866,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=758839&isFoil=Y,https://scryfall.com/card/8da41054-7f89-4c74-8c58-092f9d6ed144
f4d556286aedc79d27be1a63423c8a82b3ddc241a79ea61d0e0340fe01a01428,foil,pending,757789,Ravages of War,foil,fe116d16-8c6e-47c2-a2bd-01529caae440,Ravages of War,pip,882,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=757789&isFoil=Y,https://scryfall.com/card/fe116d16-8c6e-47c2-a2bd-01529caae440
3421482d0fddeed995be1482810235913348014a212cdf94a7da580c0e9daa2e,foil,pending,282555,Splinter Twin,foil,580fbbf8-ba7e-4889-a5ea-d066f3ea8cea,Splinter Twin,mm2,129,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=282555&isFoil=Y,https://scryfall.com/card/580fbbf8-ba7e-4889-a5ea-d066f3ea8cea
3ff8012dbabd983517d036fe089c3b8fdbcd89ba6c0c56e227cf9323471de47e,foil,pending,809104,Radiant Lotus,foil,656ba742-b00f-4fce-8418-987226c25a81,Radiant Lotus,dft,416,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=809104&isFoil=Y,https://scryfall.com/card/656ba742-b00f-4fce-8418-987226c25a81
f97f55dfeee347548f74ca8e52b8842b4db739250f4517bb78f45c7d046819b5,foil,pending,678511,Serra Angel,foil,fc22536c-09b4-4dc3-9371-842d91c5251e,Serra Angel,p30h,1,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=678511&isFoil=Y,https://scryfall.com/card/fc22536c-09b4-4dc3-9371-842d91c5251e
3b7b59fe88205477715d29f9597c324801331ecdc85abd64c07e6d7dc2f947cb,foil,pending,263279,Overwhelming Forces,foil,a69cba3a-e5a1-4539-a084-adefce507db1,Overwhelming Forces,j13,6,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=263279&isFoil=Y,https://scryfall.com/card/a69cba3a-e5a1-4539-a084-adefce507db1
fbef387b0479df2424d7cd9228b9b8ebd5f273f08fa073dda1ce45a940316a0b,foil,pending,21766,Sorin Markov,foil,29606aca-f23f-4dfe-b685-2065193109c8,Sorin Markov,zen,111,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=21766&isFoil=Y,https://scryfall.com/card/29606aca-f23f-4dfe-b685-2065193109c8
c4af3d281063f4cf7a16d173229c8833f66ce990da5f36382b373187cd0d408a,foil,pending,741073,Compy Swarm,foil,801b3fc9-722d-497a-a1ae-c3a158d5ca64,Compy Swarm,rex,34,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=741073&isFoil=Y,https://scryfall.com/card/801b3fc9-722d-497a-a1ae-c3a158d5ca64
34c81ee08a2a22f855724222c724dbc1b425db4fbabcfbbd5c8518b2791a2eef,foil,pending,824364,"Noctis, Prince of Lucis",foil,49543cd4-d976-4d3b-a7d2-6acfbb28b1b5,"Noctis, Prince of Lucis",fin,546,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=824364&isFoil=Y,https://scryfall.com/card/49543cd4-d976-4d3b-a7d2-6acfbb28b1b5
5e2158b4a25aed7b8dcc47b9ecc0624619a9c8fd12b8310ff7d7e6336c311f92,foil,pending,753292,Spell Pierce,foil,6e745659-7007-48cc-9f82-a27363068c5e,Spell Pierce,slp,18,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=753292&isFoil=Y,https://scryfall.com/card/6e745659-7007-48cc-9f82-a27363068c5e
10137ebe06ea4a03a7dc690d3a1f6aeb23bc2c7e6f54ffc20acaaa2d130eb8ac,foil,pending,817923,Mountain,foil,a4db1b7a-93f2-40a5-b649-80a099ddeb62,Mountain,tdm,290,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=817923&isFoil=Y,https://scryfall.com/card/a4db1b7a-93f2-40a5-b649-80a099ddeb62
97988318227394253f3b5ff3cf77b0ba56e812766ad855079eea528a080afae5,foil,pending,607042,"Jin-Gitaxias, Progress Tyrant",foil,01985566-275b-4bf0-8667-c81eb95ad70c,"Jin-Gitaxias, Progress Tyrant",neo,371,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=607042&isFoil=Y,https://scryfall.com/card/01985566-275b-4bf0-8667-c81eb95ad70c
5bfd67921e2e415ac9fb4d279bc4c129122b1b95df44e404dfbccedc9223b378,foil,pending,778095,"Finneas, Ace Archer",foil,f4d99aec-c114-4287-ab61-a34e5adab5ab,"Finneas, Ace Archer",blb,348,en,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=778095&isFoil=Y,https://scryfall.com/card/f4d99aec-c114-4287-ab61-a34e5adab5ab
5a0127b0d699bf5171ebd6134c7fa8b03eb4f1c145c01ef77499c128881a58f6,non_english,pending,15410,Ankh of Mishra,nonfoil,214ec172-bd8a-42ec-9fb0-282e8f7b1cc2,Ankh of Mishra,fbb,233,fr,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=15410,https://scryfall.com/card/214ec172-bd8a-42ec-9fb0-282e8f7b1cc2
0f836b1ed4d61729c1cf0f822725ca02c89672a3c2553f28439de4c5e55cf2ea,non_english,pending,557126,Natural Order,nonfoil,8ac43bf2-08e1-4b63-ac4f-ccc565ca2cee,Natural Order,sta,117,ja,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=557126,https://scryfall.com/card/8ac43bf2-08e1-4b63-ac4f-ccc565ca2cee
db107dff3b47680041269bd57f80c666bb84654f07f9a8d347727542d85711fe,non_english,pending,882774,Ad Nauseam,foil,68f7db06-8a4c-4654-9209-6bc6c5d7f492,Ad Nauseam,soa,155,ja,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=882774&isFoil=Y,https://scryfall.com/card/68f7db06-8a4c-4654-9209-6bc6c5d7f492
6fa18a168a021eaf6bd1ffe7c02d5d796655b2593c69e822778d8e8d3f2cda9f,non_english,pending,883105,Cyclonic Rift,foil,f779109e-331f-44ae-9dfb-e435a2bc6b7f,Cyclonic Rift,soa,144,ja,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=883105&isFoil=Y,https://scryfall.com/card/f779109e-331f-44ae-9dfb-e435a2bc6b7f
6ef7e9f0956b094ecb18adfadabaf281bb441a44ff3a0af373c5e23cadb192f4,non_english,pending,660440,Faceless Haven,nonfoil,f447b55a-8998-46dd-b10c-4545bbcb97c2,Faceless Haven,pwcs,2021-6,ja,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=660440,https://scryfall.com/card/f447b55a-8998-46dd-b10c-4545bbcb97c2
e6fa4268ffe069ec79e97b874a50742e7e4e1e98f111248a406d0110ead79011,non_english,pending,718037,Sol Ring,nonfoil,7a8db21f-722b-4a07-985b-8d25a0b0006a,Sol Ring,ltc,408,qya,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=718037,https://scryfall.com/card/7a8db21f-722b-4a07-985b-8d25a0b0006a
95202ae8518a4216bdff8b0acb991225f3493d5bafb6f5e549eddb5e58333c3d,non_english,pending,372742,"Narset, Parter of Veils",foil,e078151b-74b7-426a-9ee5-d83799ca2b85,"Narset, Parter of Veils",war,61★,ja,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=372742&isFoil=Y,https://scryfall.com/card/e078151b-74b7-426a-9ee5-d83799ca2b85
88cd426ecaeec18073fa392656247086c49254b2f0e5933bbd5c4bf9b5214b35,non_english,pending,15457,Winter Orb,nonfoil,1e10013c-0dbc-4153-8937-f612ffd93d2f,Winter Orb,fbb,280,fr,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=15457,https://scryfall.com/card/1e10013c-0dbc-4153-8937-f612ffd93d2f
5ee4119cdfa9e4f3e836afe6c82717fb8eb4b79b76a914fa2ffb0a6c90cb4d2a,non_english,pending,373437,"Chandra, Fire Artisan",foil,a3d375ce-ab87-4d1a-a018-7d227bf1abe3,"Chandra, Fire Artisan",pwar,119s★,ja,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=373437&isFoil=Y,https://scryfall.com/card/a3d375ce-ab87-4d1a-a018-7d227bf1abe3
2806ac8bfd72f98cbdc9c4785300dfbef2595d5ed644a8045ec54d9a3bd32a3b,non_english,pending,15231,Counterspell,nonfoil,a7b5b4b1-1df0-46c4-97ff-f0ca2d1c91fb,Counterspell,fbb,54,fr,normal,1,https://www.cardmarket.com/en/Magic/Products?idProduct=15231,https://scryfall.com/card/a7b5b4b1-1df0-46c4-97ff-f0ca2d1c91fb
